source,target,value
10/8/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/8/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/8/2020,Takeout,1
Takeout,"Grains, white roots and tubers, and plantains",1
10/7/2020,Homemade,1
Homemade,"Meat, poultry and fish",1
10/7/2020,Homemade,1
Homemade,"Meat, poultry and fish",1
10/7/2020,Homemade,1
Homemade,Dairy,1
10/6/2020,Homemade,1
Homemade,"Meat, poultry and fish",1
10/6/2020,Homemade,1
Homemade,"Meat, poultry and fish",1
10/6/2020,Homemade,1
Homemade,Dairy,1
10/5/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/5/2020,Homemade,1
Homemade,Dark green leafy vegetables,1
10/5/2020,Homemade,1
Homemade,Nuts and seeds,1
10/4/2020,Homemade,1
Homemade,Dark green leafy vegetables,1
10/4/2020,Homemade,1
Homemade,Dark green leafy vegetables,1
10/4/2020,Homemade,1
Homemade,Nuts and seeds,1
10/3/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/3/2020,Homemade,1
Homemade,Dark green leafy vegetables,1
10/3/2020,Homemade,1
Homemade,Eggs,1
10/2/2020,Takeout,1
Takeout,"Grains, white roots and tubers, and plantains",1
10/2/2020,Homemade,1
Homemade,"Pulses (beans, peas and lentils)",1
10/2/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/1/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
10/1/2020,Homemade,1
Homemade,"Pulses (beans, peas and lentils)",1
10/1/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
9/30/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
9/30/2020,Takeout,1
Takeout,"Grains, white roots and tubers, and plantains",1
9/30/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
9/29/2020,Takeout,1
Takeout,"Grains, white roots and tubers, and plantains",1
9/29/2020,Takeout,1
Takeout,"Grains, white roots and tubers, and plantains",1
9/29/2020,Homemade,1
Homemade,Nuts and seeds,1
9/28/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
9/28/2020,Homemade,1
Homemade,"Grains, white roots and tubers, and plantains",1
9/28/2020,Homemade,1
Homemade,Nuts and seeds,1